,timestamp,node_id,subsystem,sensor,parameter,avg_value_hrf,datetime,project_id,vsn,address,lat,lon,description,start_timestamp,end_timestamp,zipcode
622,1525496400,001e06113107,alphasense,opc_n2,pm2_5,3.4907112676056333,2018-05-05 05:00:00,AoT_Chicago,72,7801 S Lawndale Ave Chicago IL,41.751142,-87.71299,AoT Chicago (S) [CA] {ComEd},1/1/17 0:00,,60652
623,1525305600,001e06113107,alphasense,opc_n2,pm2_5,0.13644055944055947,2018-05-03 00:00:00,AoT_Chicago,72,7801 S Lawndale Ave Chicago IL,41.751142,-87.71299,AoT Chicago (S) [CA] {ComEd},1/1/17 0:00,,60652
624,1525489200,001e06113107,alphasense,opc_n2,pm2_5,2.9187535211267597,2018-05-05 03:00:00,AoT_Chicago,72,7801 S Lawndale Ave Chicago IL,41.751142,-87.71299,AoT Chicago (S) [CA] {ComEd},1/1/17 0:00,,60652
625,1527472800,001e06113107,alphasense,opc_n2,pm2_5,8.671316901408451,2018-05-28 02:00:00,AoT_Chicago,72,7801 S Lawndale Ave Chicago IL,41.751142,-87.71299,AoT Chicago (S) [CA] {ComEd},1/1/17 0:00,,60652
626,1527670800,001e06113107,alphasense,opc_n2,pm2_5,0.4637957746478874,2018-05-30 09:00:00,AoT_Chicago,72,7801 S Lawndale Ave Chicago IL,41.751142,-87.71299,AoT Chicago (S) [CA] {ComEd},1/1/17 0:00,,60652
627,1527480000,001e06113107,alphasense,opc_n2,pm2_5,8.538292857142855,2018-05-28 04:00:00,AoT_Chicago,72,7801 S Lawndale Ave Chicago IL,41.751142,-87.71299,AoT Chicago (S) [CA] {ComEd},1/1/17 0:00,,60652
628,1525669200,001e06113107,alphasense,opc_n2,pm2_5,1.9637285714285715,2018-05-07 05:00:00,AoT_Chicago,72,7801 S Lawndale Ave Chicago IL,41.751142,-87.71299,AoT Chicago (S) [CA] {ComEd},1/1/17 0:00,,60652
629,1525485600,001e06113107,alphasense,opc_n2,pm2_5,3.2903286713286723,2018-05-05 02:00:00,AoT_Chicago,72,7801 S Lawndale Ave Chicago IL,41.751142,-87.71299,AoT Chicago (S) [CA] {ComEd},1/1/17 0:00,,60652
630,1525683600,001e06113107,alphasense,opc_n2,pm2_5,1.6256834532374098,2018-05-07 09:00:00,AoT_Chicago,72,7801 S Lawndale Ave Chicago IL,41.751142,-87.71299,AoT Chicago (S) [CA] {ComEd},1/1/17 0:00,,60652
631,1525478400,001e06113107,alphasense,opc_n2,pm2_5,1.7371678321678332,2018-05-05 00:00:00,AoT_Chicago,72,7801 S Lawndale Ave Chicago IL,41.751142,-87.71299,AoT Chicago (S) [CA] {ComEd},1/1/17 0:00,,60652
632,1527310800,001e06113107,alphasense,opc_n2,pm2_5,13.689611510791366,2018-05-26 05:00:00,AoT_Chicago,72,7801 S Lawndale Ave Chicago IL,41.751142,-87.71299,AoT Chicago (S) [CA] {ComEd},1/1/17 0:00,,60652
633,1525276800,001e06113107,alphasense,opc_n2,pm2_5,0.22004195804195806,2018-05-02 16:00:00,AoT_Chicago,72,7801 S Lawndale Ave Chicago IL,41.751142,-87.71299,AoT Chicago (S) [CA] {ComEd},1/1/17 0:00,,60652
634,1525284000,001e06113107,alphasense,opc_n2,pm2_5,0.12953146853146852,2018-05-02 18:00:00,AoT_Chicago,72,7801 S Lawndale Ave Chicago IL,41.751142,-87.71299,AoT Chicago (S) [CA] {ComEd},1/1/17 0:00,,60652
635,1525816800,001e06113107,alphasense,opc_n2,pm2_5,2.7193888888888886,2018-05-08 22:00:00,AoT_Chicago,72,7801 S Lawndale Ave Chicago IL,41.751142,-87.71299,AoT Chicago (S) [CA] {ComEd},1/1/17 0:00,,60652
636,1525831200,001e06113107,alphasense,opc_n2,pm2_5,3.8736923076923078,2018-05-09 02:00:00,AoT_Chicago,72,7801 S Lawndale Ave Chicago IL,41.751142,-87.71299,AoT Chicago (S) [CA] {ComEd},1/1/17 0:00,,60652
637,1525824000,001e06113107,alphasense,opc_n2,pm2_5,2.165673611111112,2018-05-09 00:00:00,AoT_Chicago,72,7801 S Lawndale Ave Chicago IL,41.751142,-87.71299,AoT Chicago (S) [CA] {ComEd},1/1/17 0:00,,60652
638,1527458400,001e06113107,alphasense,opc_n2,pm2_5,3.3522307692307685,2018-05-27 22:00:00,AoT_Chicago,72,7801 S Lawndale Ave Chicago IL,41.751142,-87.71299,AoT Chicago (S) [CA] {ComEd},1/1/17 0:00,,60652
639,1527260400,001e06113107,alphasense,opc_n2,pm2_5,2.251900709219857,2018-05-25 15:00:00,AoT_Chicago,72,7801 S Lawndale Ave Chicago IL,41.751142,-87.71299,AoT Chicago (S) [CA] {ComEd},1/1/17 0:00,,60652
640,1527465600,001e06113107,alphasense,opc_n2,pm2_5,4.242816901408451,2018-05-28 00:00:00,AoT_Chicago,72,7801 S Lawndale Ave Chicago IL,41.751142,-87.71299,AoT Chicago (S) [CA] {ComEd},1/1/17 0:00,,60652
